|job_title|job_description|stars|salary_range
318|Principal Data Scientist - Prime Video Personalization|"Job Description
Principal Data Scientist – Prime Video Personalization


Prime Video is changing the way people watch movies and TV shows, with hundreds of thousands of titles available to stream and download on all your favorite devices.


The Prime Video Personalization (AVP) team is looking for a Data Scientist who will analyze customer behavior, title catalog information and Personalization algorithms and provide direction to the Personalization Product and Engineering teams, to help customers connect with content they want to watch.

You will work closely with Product Managers and SDMs but also ML scientists, economists and finance within AVP and the wider Digital organization. You will influence how AVP targets and measure success.


As a member of the Product Intelligence team (within AVP) you will spend your time as a hands-on Data Scientist practitioner and thought leader. You will source much of your own data for modelling, and guide junior analysts in data modeling and provide support to the models and insights you develop. This role requires you to:
· Analyze and solve business problems at their root, stepping back to understand the broader context.
· Disambiguate problems and develop new metrics for identifying and tracking success
· Utilize database technologies, including SQL, ETL, EMR, and Redshift to shape data and statistical modelling packages like R and python to build customer models.
· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation.
· Manage and execute entire projects or components of large projects from start to finish including project management, data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights and recommendations.

Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation



Basic Qualifications
MSc in Computer Science, Machine Learning, Operational Research, Statistics or a related quantitative field
5+ years of practical experience applying DS to solve complex problems;
Experience statistics packages such as R, SAS or Python;
SQL experience
Experience distilling informal customer requirements into problem definitions, dealing with ambiguity and competing objectives. Defining and identifying success
Strong fundamentals in problem solving
Preferred Qualifications
8+ years of practical experience applying DS to solve complex problems;
Superior verbal and written communication and presentation skills, ability to convey rigorous mathematical concepts and considerations to non-experts.


Apply Now at Amazon"|3.8 ★|$160K-$228K (Glassdoor Est.)
319|Senior Data Scientist, Ordering|"Why compromise? Finally, an opportunity that your data science heart, your career, your mentor and your family can be excited about at the same time! Yes, a job that has it all, i.e., explosive growth, ground-floor product, cutting-edge technology, a highly visible charter and a cool vision that you can boast about.

Who are we?

Postmates is disrupting local commerce by providing a marketplace where consumers can purchase goods from any local restaurant or store and local couriers deliver the goods to their home in minutes. Postmates has unlocked on-demand local shopping providing consumers the convenience of super fast delivery for the largest selection of goods (anything in the whole city!); the benefit and scale of e-commerce for local merchants; and more flexible work for couriers.

This is a tall order, and Postmates relies heavily on our data applications and systems to realize this vision. Even though we are already a billion dollar business with millions of customers in 300+ US cities trusting us with more than 2M orders every month, we have only just started our technical journey to build our technology stack in a way that can keep up with our rapid growth.

What does this team do?

It's challenging to place orders to all merchants in the city reliably and efficiently on the massively expanding Postmates marketplace, and it's impossible without the most intelligent science and technology. The mission of Ordering at Postmates is to automate and scale order placements to every merchant. We develop high-quality distributed systems and are ready to explore ML and NLP techniques to take our mission to the next level.

What will you do?

As the first Data Scientist on the team, your responsibilities not only include analysis, modeling and coding, but also defining the strategic direction for our products. We are building the systems from ground up, so we are not tied to any one technology. Mastering the latest trend of data science and artificial intelligence, selecting the right methodologies and envisioning a long-term architecture is part of the role. So is recommending the next set of big bold bets we shall tackle based on insights from data. Finally, this being a new team, you'll have lots of opportunities to help us build & grow the team via mentoring, hiring & training.

To accomplish this, you are expected to have an established background in building highly intelligent algorithms in a production environment, great analysis and reporting skills, excellent project management skills, strong product & technology vision, and a motivation to achieve results in a fast-paced environment. You should be somebody who enjoys working on massive data, is customer-centric, and feels strongly about creating good models as well as delivering the impact of them to the end users.

Basic Qualifications
Bachelors in Computer Science or a related field
7+ years of industry experience
Proven experience in building machine learning models in a large-scale distributed system environment, from opportunity inception to impact delivery
Strong coding skills in Python/Go/Java/C++/C#
Extensive experience defining and delivering on complex analytical deep dives to unblock insights from data
Demonstrated experience in articulating ambiguous business questions and developing differentiating metrics
Excellent communication skills with both technical and non-technical audiences
Strong sense of ownership and drive
Preferred Qualifications
Advanced degree in Computer Science or a related field
Extensive experience in building voice-bot, prediction, forecasting and/or automated phone systems.
Benefits
Competitive salary and generous stock option plan (stay aligned with the long-term value you create)
Medical, dental and vision insurance
Whatever computer, monitor, standing desk, keyboard mouse you need
Impact-first work environment (no politics, no pandering)
Huge company vision (we need you to build the future, not just maintain the status quo)"|2.9 ★|$112K-$156K (Glassdoor Est.)
320|Senior Manager, Data Analytics|"Overview

Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek new and innovative ways to prevent, diagnose and treat cancer, HIV/AIDS and other life-threatening diseases. Fred Hutch's pioneering work in bone marrow transplantation led to the development of immunotherapy, which harnesses the power of the immune system to treat cancer. An independent, nonprofit research institute based in Seattle, Fred Hutch houses the nation's first and largest cancer prevention research program, as well as the clinical coordinating center of the Women's Health Initiative and the international headquarters of the HIV Vaccine Trials Network. Careers Start Here.

The Statistical Center for HIV/AIDS Research&Prevention (SCHARP) at Fred Hutchinson Cancer Research Center in Seattle, WA is seeking a highly motivated and effective Senior Manager to lead SCHARP's Data Analytics Unit (DAU) and provide the unit with technical guidance and vision. The DAU is made of approximately 45 biostatisticians and statistical programming employees that work in conjunction with other SCHARP units to manage multiple international clinical trials across all phases including regulatory submission studies. The DAU has responsibility for coordinating the statistical design, reporting, and analysis of clinical trial protocols.

The Senior Manager, Data Analytics Unit (DAU) is a member of SCHARP's Senior Management Team and partners with the SCHARP Director, other unit heads, and the DAU's Statistical Managers to develop department-wide strategy, vision, mission, infrastructure, policies, and standards. The Senior Manager, DAU reports to the SCHARP Director.

Responsibilities

The Senior Manager, DAU is responsible for providing overall management of the unit and supervision of statistical managers and senior statistical associates. In addition, the incumbent oversees resources and priorities to support workflows in the unit and across SCHARP. The Senior Manager, DAU is the strategic and organizational manager responsible for ensuring that the unit is operating effectively and that it meets the requirements of the research studies in a regulatory compliant manner.

Leadership
Provide strategic, organizational, and operational management and guidance to the Data Analytics Unit.
Collaborate with the other SCHARP Unit Heads to create and implement overall organizational vision and strategic direction.
Foster and promote the long-term development of the Data Analytics Unit, work closely with the SCHARP Director, senior management team, and the DAU's statistical managers to define ways in which the DAU contributes to the advancement of SCHARP and to improve the operational effectiveness of the unit.
Management
Supervise Data Analytics Unit managers.
Develop and maintain staff morale, engagement, and professional development.
Monitor unit deliverables and related resources and timelines including communicating issues regarding conflicts and/or resource limitations.
Monitor project and protocol workflows, capacity, priorities and staffing and represent the interests of the DAU as a member of SCHARP Senior Management Team.
Change Management and Quality Assurance
Lead departmental efforts to standardize work practices and develop standard operating procedures in conformance with GCP, GCDMP, and ICH guidelines, and that meets regulatory submission requirements, and CDISC standards.
Oversee and ensure quality assurance in coordination with the Quality Management section.
In partnership with SCHARP's Business Support Services unit and the Project Management Steering Committee, prioritize and manage the implementation of SCHARP projects that intersect the DAU such as continuous quality improvement, operational effectiveness, and technical infrastructure improvement projects.
Facilitates adoption of new and forward-thinking practices technologies and tools that improve the efficiency, effectiveness or the regulatory compliance of the unit.
Evaluate and identify efficiencies and process improvements including leading infrastructure and technological upgrades as needed to improve unit intake, workflow, documentation and tracking, and project/protocol management.
Qualifications

Minimum Qualifications
PhD or Master's degree in public health, epidemiology, biostatistics or other health related or scientific field
Minimum of 3 years management experience in a clinical research or healthcare organization
Experienced and accomplished mentor, leader and manager
Excellent organizational and communication skills
Preferred Qualifications
At least 5 years of experience managing a statistics group in a clinical research organization
Proficiency in analysis and reporting of phase 1- 3 clinical trials
Expertise in clinical trials data analytics and data management in a regulated environment
Working knowledge of 21CFR-11, GCP, ICH, and FDA requirements
Familiarity with CDISC: SDTM and ADaM standards
Organizational change management experience
Experience with strategic and operational planning
Our Commitment to DiversityWe are committed to cultivating a workplace in which diverse perspectives and experiences are welcomed and respected. We are proud to be an Equal Opportunity and VEVRAA Employer. We do not discriminate on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital or veteran status, sexual orientation, gender identity, political ideology, or membership in any other legally protected class. We are an Affirmative Action employer. We encourage individuals with diverse backgrounds to apply and desire priority referrals of protected veterans. If due to a disability you need assistance/and or a reasonable accommodation during the application or recruiting process, please send a request to our Employee Services Center at escmail@fredhutch.org or by calling 206-667-4700."|4.1 ★|$89K-$116K (Glassdoor Est.)
321|decision scientist, Business Strategy|"*Summary of Experience**
+ Years within data analysis field or discipline Minimum 1 Year Experience
*BasicQualifications**
+ Education: BA/BS w/ concentration in quantitativediscipline - Stats, Math, Comp Sci, Engineering, Econ, or similar
*Required Knowledge, Skills and Abilities**
+ Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities

+ Business-applicable experience in several techniques for data visualization skills, e.g. Tableau

+ Ability to handle and maintain the confidentiality of highly sensitive information.

+ High proficiency with Excel including pivoting capabilities and analysis modules ? VBA macros and ODBC sourcing

+ Working knowledge of basic statistics; experience with R, SAS or similar

+ Expert Ability to collect data using a variety of methods, such as data mining and hardcopy or electronic documentation study to improve or expand databases

+ Knowledge and applicable-experience on clickstream analytics for app and web

+ Retail, customer loyalty, and eCommerce experience, preferred

_Starbucks is an equal opportunity employer of all qualified individuals; including minorities, women, veterans, and individuals with disabilities, and regardless of sexual orientation or gender identity. Starbucks will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances._"|3.8 ★|
322|Sr. Big Data Engineer|"Job Description

Sponsored Products is Amazon's native advertising solution (run a search in Amazon and try to spot our sponsored native ads alongside with the organic results). Sponsored Products uses automatic and keyword targeting capabilities to give merchants control over product merchandising on Amazon by boosting the visibility of products when customers shop. Merchants can access the platform via self service capabilities and only pay when shoppers click on the ads. Even though this product started in 2012, it is growing rapidly and it has the potential of eventually becoming as large as other established CPC advertising publishers. Learn more about Sponsored Products here http://sp.amazon.com.
Our team of high caliber software developers, statisticians and product managers use rigorous quantitative approaches to ensure that we target the right ad to the right customer at the right moment; managing tradeoffs between monetization, advertiser ROI and customer relevance. In order to accomplish this we leverage the wealth of Amazon’s information to build a wide range of models, set up experiments that ensure that we are thriving to reach global optimums and leverage Amazon’s technological infrastructure to display the right ads in real time.

As a Data Engineer with our team, you will be working in a large, extremely complex, and dynamic data warehousing environment. We are looking for someone with the uncanny ability to build efficient, flexible, and scalable data lake/warehouse and analytic solutions enabling identifying risks and opportunities. The candidate should be able to use new technologies (AWS stack (redshift, EMR/spark) and be able to implement solutions using these technologies to empower internal customers and scale the existing platform. You should be expert at designing, implementing, and operating stable, scalable, low cost solutions to flow data from production systems into the data warehouse and into end-user facing reporting applications. Above all you should be passionate about working with huge data sets and someone who loves to bring datasets together to answer business questions and drive growth.

To succeed in this newly created role you will work closely with BI , product and business leaders in Seattle. You will have the opportunity to be mentored by top data engineers, and you will work directly with BI peers



Key responsibilities:



Apply Now at Amazon"|3.8 ★|$123K-$146K (Glassdoor Est.)
323|Proteomics Scientist|"Overview

Cures Start Here. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates, interdisciplinary teams of world-renowned scientists seek new and innovative ways to prevent, diagnose and treat cancer, HIV/AIDS and other life-threatening diseases. Fred Hutch’s pioneering work in bone marrow transplantation led to the development of immunotherapy, which harnesses the power of the immune system to treat cancer. An independent, nonprofit research institute based in Seattle, Fred Hutch houses the nation’s first cancer prevention research program, as well as the clinical coordinating center of the Women’s Health Initiative and the international headquarters of the HIV Vaccine Trials Network. Careers Start Here.

Responsibilities

The Paulovich Lab at Fred Hutch is an interdisciplinary team whose mission is to develop and implement tools for protein quantification to enable precision medicine. Our group is highly collaborative, participating in national and international consortia in which teams of scientists, statisticians, and clinicians work together to solve clinical or biological problems to impact human health.

Our team is excited to hire a highly motivated and interactive upper level scientist, with strong bioinformatics skills, experience in mass spectrometry-based proteomics data analysis, wet lab bench experience in analytical chemistry or molecular biology, and a publication (in peer-reviewed journals) record of accomplishment. The candidate will work closely as part of our translational proteomics team to plan experiments, process samples, generate high-quality data, and integrate and analyze datasets. The position includes drafting manuscripts for publication and giving oral presentations; thus a demonstrated track record of peer-reviewed journal publications, as well as excellent English written and oral presentation skills are required.

The work environment is highly collaborative and productive, requiring effective inter-personal communication skills, the capability to focus on multiple tasks and meet milestones, and the ability to function as part of a team- independently with minimal supervision. The candidate will contribute to the team both bioinformatically and at the bench, as needed. The work is quantitative, and attention to detail and the ability to follow standard operating protocols (SOP) are critical.
Analyze proteomic (mass spectrometry) and genomic datasets and contribute to interpreting the results to discern clinical or biological insights from high quality proteomics and proteogenomic datasets
Think independently about new results, connect them to domain knowledge, and formulate novel and testable hypotheses to glean clinical or biological insights; communicate new ideas to the team frequently and effectively (i.e., an interactive thought leader)
Apply computational methods and develop tools to interpret biological data and solve key problems in proteomics and proteogenomics-based research
Work with collaborating statisticians to ensure rigor in data analytics and interpretation
Generate high quality samples for proteomics analysis, and possibly also generate proteomic data
Collaborate with others to develop new methods (SOPs) and tools that support research objectives
Prepare and deliver presentations (oral and poster)
Prepare and publish scientific manuscripts (in peer-reviewed journals) and reports
Qualifications

Required
Minimum of Master’s degree or equivalent and 5+ years experience in Chemistry, Biochemistry, Molecular Biology, or related discipline
Previous track record as co-author on published manuscripts in scientific journals
Ability to read and critically evaluate scientific literature related to team projects
Ability to think independently about new results, connect them to domain knowledge, and formulate novel and testable hypotheses to glean clinical or biological insights
Previous hands-on bench experience in analytical chemistry, biochemistry, or molecular biology
Familiarity with mass spectrometry fundamentals and associated data (discovery and targeted LC-MRM-MS)
Proficiency with MS Office programs (Word, Powerpoint, Excel, and Access)
Previous experience with MaxQuant, X!Tandem, SpectrumMill, MSGF, or other mass spectrometry search engines
Previous experience with Panorama, Skyline, or other Multiple Reaction Monitoring mass spectrometry software
Familiarity with genomics fundamentals and associated data (DNA and RNA sequencing, CNV, SNP, microarray datasets)
Previous experience with software tools such as R, Matlab, SAS, MS Access or SQL
Ability to multi-task efficiently in an highly interactive team environment
Must be comfortable in a milestone-driven environment, with quarterly objectives
Excellent English verbal and written communication/writing skills
Desired
PhD and 5+ years experience in Chemistry, Biochemistry, Molecular Biology, or related discipline
Previous experience in a CLIA or clinical lab environment
Previous experience with the mechanisms in cancer biology, DNA damage response, or immunotherapy a bonus
Our Commitment to DiversityWe are committed to cultivating a workplace in which diverse perspectives and experiences are welcomed and respected. We are proud to be an Equal Opportunity and VEVRAA Employer. We do not discriminate on the basis of race, color, religion, creed, ancestry, national origin, sex, age, disability, marital or veteran status, sexual orientation, gender identity, political ideology, or membership in any other legally protected class. We are an Affirmative Action employer. We encourage individuals with diverse backgrounds to apply and desire priority referrals of protected veterans. If due to a disability you need assistance/and or a reasonable accommodation during the application or recruiting process, please send a request to our Employee Services Center at escmail@fredhutch.org or by calling 206-667-4700."|4.1 ★|
324|RESEARCH SCIENTIST/ENGINEER 4|"RESEARCH SCIENTIST/ENGINEER 4
Req #: 158962
Department: BIOSTATISTICS
Job Location: Seattle Campus
Posting Date: 08/15/2018
Closing Info: Closes On 08/22/2018
Salary: Salary is commensurate with education and experience.
Limited Recruitment:

Other

Limited Recruitment Other: OPEN TO DEPARTMENT OF BIOSTATISTICS EMPLOYEES ONLY
Shift: First Shift

As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.

UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a “Great College to Work For” for five consecutive years.

The Center for Biomedical Statistics (CBS) has an outstanding opportunity for a Biostatistician (Research Scientist / Engineer 4) to support data coordinating center activities on projects our center directly coordinates or for ancillary studies. The biostatistician will provide focused longer-term collaboration on multiple ongoing projects that the CBS coordinates. The CBS is currently actively engaged with investigators and projects in areas such as health services, genomics, orthopedics, nephrology, pediatrics, radiology, and urology. The role of this biostatistician on such projects may range from general day-to-day consultation, to extensive statistical analysis, to collaboratively writing and publishing scientific manuscripts. The CBS supports systems for data coordination on a number of ongoing prospective research studies and clinical trials. This biostatistician would therefore have opportunities to become familiar with and participate in the day-to-day conduct of operating a clinical research study.

The CBS is a recognized leader in statistical sciences and is an integral part of a department that consistently ranks among the top five in the nation. The center is based at the University of Washington, with integrated partnerships with Fred Hutchinson Cancer Research Center, Seattle Children’s and the Institute of Translational Sciences. The mission of the Department of Biostatistics is to serve as a source of expertise and a focus for training and research in the quantitative aspects of public health and medicine, and to promote the use of rigorous quantitative methods in the biomedical and public health sciences.

Duties of this position may include but are not limited to:
Assist in the preparation and writing of collaborative manuscripts
Analyze data on a regular or ad-hoc basis and provide an appropriate interpretation of the results ?-- Critically evaluate proposed research designs, study aims, and suggest design improvements
Provide sample size calculations or estimation of statistical power for research study designs
Actively participate in the development and conduct of ancillary research studies ?-- Access and integrate data from multiple databases, including programmatically matching and merging data records
Generate ancillary study data sets for the purposes of analysis?-- Actively participate in research group meetings that may require travel to offsite locations
As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.

Requirements:
MS or PhD in Biostatistics with at least 5 to 7 years of collaborative work experience as a biostatistician.
Excellent verbal and written communication skills, as the person in this position will closely interact with clinical researchers in the design, conduct, and analyses of research studies.
Knowledge of or a strong capacity to learn specialized statistical or data management skills with clinical trial, genetic/genomic, and electronic health record data.
Experienced in one or more statistical software packages, preferably R.
Equivalent education/experience will substitute for all minimum qualifications except where there are legal requirements such as license/certification/registration.

Desired:
One of your favorite courses in graduate school was statistical consulting.
Degree of confidence that allows you to effectively communicate with investigators who have a broad range of backgrounds and statistical knowledge.
You prefer interacting with people. Yet, you are able to work independently with only occasional supervision.
You feel comfortable writing technical ideas to a non-technical audience.
As a graduate student, you might have optionally sought out additional advanced applied biostatistics coursework; you desire to learn more applied analysis methods.

Application Process:
The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.
The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.

The University of Washington is an equal opportunity, affirmative action employer.
To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (tty) or dso@uw.edu.
Apply for this job"|4.1 ★|$52K-$84K (Glassdoor Est.)
325|Industrial Hygiene Scientist Intern|"Overview / Responsibilities

Wood Environment & Infrastructure is seeking an Industrial Hygiene Scientist Intern who under limited supervision provides test and inspection data to the environmental, industrial hygiene, engineering field and laboratory projects.

Key Responsibilities
Conduct tests and investigations in the field to obtain data for use by environmental, industrial hygiene, engineering and scientific personnel in determining engineering, environmental or physical properties of soil, building and construction materials, air and stormwater
Conduct quantitative and qualitative analysis to determine chemical properties of materials, water, soil and air
Perform field tests according to prescribed procedures, processes and standards
Collect air, water or soil samples, prepare samples for testing, record data and prepare summary reports
Use specialized equipment and apparatus to prepare analysis, reports and / or technical drawings
Maintain results logs and effectively communicate methods and observations made in the field
Enter data and use analytical and design software applications
Set up, maintain and calibrate equipment
Will require some lifting and carrying
Field assignments will require travel and / or work to be performed on site under a variety of environmental and climatic conditions for extended periods of time
High School diploma or GED.
Bachelors of science degree in progress
0-3 yrs experience- some experience in a laboratory, field or technical design environment preferred
Skills / Qualifications
High School diploma or GED.
Bachelors of science degree in progress
0-3 yrs experience- some experience in a laboratory, field or technical design environment preferred
Company Overview

Wood is a global leader in the delivery of project, engineering and technical services to energy and industrial markets. We operate in more than 60 countries, employing around 55,000 people, with revenues of around $10 billion. We provide performance driven solutions throughout the asset life cycle, from concept to decommissioning across a broad range of industrial markets including the upstream, midstream and downstream oil & gas, power & process, environment and infrastructure, clean energy, mining, nuclear and general industrial sectors. We strive to be the best technical services company to work with, work for and invest in.

www.woodplc.com

Diversity Statement

We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.

SDL2017"|3.2 ★|$43K-$60K (Glassdoor Est.)
326|Lead Data Scientist|"Job Title: Senior Data Scientist - Automation Core
Location: Kirkland, WA

ServiceNow is changing the way people work. With a service-orientation toward the activities, tasks and processes that make up day-to-day work life, we help the modern enterprise operate faster and be more scalable than ever before.

We’re disruptive. We work hard but try not to take ourselves too seriously. We are highly adaptable and constantly evolving. We are passionate about our product, and we live for our customers. We have high expectations and a career at ServiceNow means challenging yourself to always be better.

What you get to do in this role:
Apply machine learning and mathematical approaches to solving IT operations management
Develop or enhance prototypes and acceptance tests for solutions to IT analytics problems like:
Alert correlation
Complex event processing
Anomaly detection
NLP on IT incidents
Causal analysis and prediction
Automation of IT remediations and processes
Work with product managers and engineers to develop solutions to customer problems.
Design and perform experiments to analyze/validate solutions to analytics problems

In order to be successful, we need someone who has:
Solution oriented attitude (you see yourself as a problem solver)
Real passion for data
Resourceful and creative approach to problems
Flexibility and ability to live with imperfect data, problem definitions, and solutions
Team oriented attitude (no stars please)
Tenacity and patience solving problems
Scientific attitude
Required Skills & Experience
Advanced degree in scientific or engineering discipline
3+ years experience in a commercial setting
Strong background in statistics, probability, and machine learning
Experience with Python scientific stack or R
Experience working with machine learning tools like Scikit-Learn, Orange, RapidMiner, Weka, etc.
Solid software development skills and understanding of computer science fundamentals
Working knowledge of SQL
We provide competitive compensation, generous benefits and a professional atmosphere. This is a very collaborative and inclusive work environment where individuals strong on aptitude and attitude will have an opportunity to grow their professional careers through working with some of the most advanced technology and talented developers in the business.

Note: To apply for this job, submit your application by clicking on the Apply Now button on this page"|3.5 ★|$142K-$201K (Glassdoor Est.)
327|Data Scientist AWS Cloud Compute|"Amazon is looking for an outstanding Data Scientist to join the AWS Product BI team. This is your opportunity to be a core part of the team that has direct impact on the day-to-day decision making in the EC2 team. Today, Amazon EC2 enables customers of all sizes to run their applications on our industry leading cloud infrastructure. Amazon EC2 redefines the economics and physics of computing, reducing the time to build a datacenter to minutes. Customers around the world use Amazon EC2 to rapidly scale capacity up and down as their computing requirements change. But there are many additional services and offerings that will make Amazon EC2 an even better customer experience and platform for our customers. We are changing the way people use computers and the EC2 team is at the core of pushing the future of our technology platform - come help us make history!

As a Data Scientist on this team, you will get the exciting opportunity to work on many and varied complex data problems. You will work closely with the business and technical teams in analysis on many non-standard and unique business problems and use creative-problem solving to deliver actionable output. A successful candidate will be a self-starter, comfortable with ambiguity, with strong attention to detail, an ability to work in a fast-paced and ever-changing environment, and an ability to work effectively with cross-functional teams.

An ideal candidate will be able to solve complex problems using data science principles that are highly accurate, stable, secure, scalable, and cost-effective. You will have hands-on experience leading and/or working on multiple simultaneous data science initiatives as well as be able to balance technical with business judgment to make the right decisions about technology, models and methodologies choices. You will strive for simplicity, and demonstrate significant creativity and high judgment backed by statistical proof. As a Data Scientist, you will be responsible for developing KPIs, programs, reporting, visualizations, tests and research in order to drive business solutions using computational techniques, and statistics to support strategic and tactical decision-making. The ideal candidate will have significant experience performing large-scale data analysis and reporting and will be responsible for developing, improving and simplifying our models. You will have the opportunity to leverage extensive datasets and provide meaningful insights to improve the customer experience as well as optimize business decisions for Amazon.

Key responsibilities include:
Work with business customers in understanding the business requirements and implementing solutions to support analytical and reporting needs.
Design and implement data science solutions enabling stakeholders to manage the business and make effective decisions.
Use a range of data science methodologies to conduct analysis for cases when the solution approach is unclear.
Use breadth of experience in the practical application of data science techniques and tools to solve difficult business problems.
Conduct ad hoc data analysis and data quality investigations."|3.8 ★|$123K-$176K (Glassdoor Est.)
328|Sr. Data Engineer - AWS Product BI|"Job Description
Amazon is looking for an outstanding Senior Data Engineer to join the AWS Product BI team. This is your opportunity to be a core part of the team that has direct impact on the day-to-day decision making in the many AWS Product teams like EC2, S3 and IoT.

Since early 2006, AWS has provided companies of all sizes with an infrastructure platform in the cloud. AWS is a high-growth, fast-moving division within Amazon with a start-up mentality where new and diverse challenges arise every day. On the AWS Product BI team you will be surrounded by people that are exceptionally talented, bright, and driven, and believe that world class BI is critical to our success. To help build this growing team, you must be highly analytical and possess a strong passion for analytics and accountability, set high standards with a focus on superior business success. We take working hard, having fun, and making history seriously. AWS sets the standard for functionality, cost, and performance for many cloud based services, but it’s still early days for cloud computing, and there are boundless opportunities to continue to redefine the world of cloud computing - come help us make history!

As a Sr. Data engineer on this team, you will be a technical leader in our team, and own the technical architecture of our BI and Data platforms. You will get the exciting opportunity to work on very large data sets in one of the world's largest and most complex data warehouse environments. You will work closely with the business and technical teams in analysis on many non-standard and unique business problems and use creative-problem solving to deliver actionable output.
Our team is serious about great design and redefining best practices with a cloud-based approach to scalability and automation. A successful candidate will be a self-starter, comfortable with ambiguity, with strong attention to detail, an ability to work in a fast-paced and ever-changing environment, and an ability to work effectively with cross-functional teams.

Key responsibilities include
- Designing, developing, troubleshooting, evaluating, deploying, and documenting data management and business intelligence systems, enabling stakeholders to manage the business and make effective decisions.
- Building secure, available, scalable, stable, and cost-effective data solutions using data storage technologies, distributed file system, data processing, and business intelligence best practices.
- Working with business customers in understanding the business requirements and implementing solutions to support analytical and reporting needs.
- Designing and planning for solutions in the various engineering subject areas as it relates to data storage and movement solutions: data warehousing, enterprise system data architecture, data design (e.g., Logical and Physical Modeling), data persistence technologies, data processing, data management, and data analysis.
- Ensuring completeness and compatibility of the technical infrastructure to support system performance, availability and architecture requirements
- Reviewing and participating in testing of the data design, tool design, data extracts/transforms, networks and hardware selections
Basic Qualifications
Basic Qualifications
- Bachelor's Degree in Computer Science or a related technical field, and solid years of relevant experience.
- A strong grasp of SQL and at least one scripting or programming language.
- 8+ years of experience with and detailed knowledge of data warehouse technical architectures, data modeling, infrastructure components, ETL/ ELT and reporting/analytic tools and environments, data structures and hands-on SQL coding.
- 4+ years of large IT project delivery for BI oriented projects.
- 4+ years of working with very large data warehousing environment


Preferred Qualifications
Preferred Qualifications
- Experience in designing and delivering cross functional custom reporting solutions.
- Experience with Massively Parallel Processing (MPP) databases - Redshift, Teradata etc
- Experience with distributed systems and NoSQL databases
- Experience with Big Data technologies e.g. Hadoop, Hive, Oozie, Presto, Hue, Spark, Scala and more!
- Excellent oral and written communication skills including the ability to communicate effectively with both technical and non-technical stakeholders.
- Proven ability to meet tight deadlines, multi-task, and prioritize workload
- A work ethic based on a strong desire to exceed expectations.
- Strong analytical skills


Apply Now at Amazon"|3.8 ★|$123K-$146K (Glassdoor Est.)
